Gen Index, Gen Bus,1.0, 2.0, 3.0, 4.0, 5.0, 6.0
18, 78, 0.0,0.0,6029.0,12058.0,13746.0,13746.0 
1, 3, 0.0,0.0,0.0,0.0,0.0,0.0 
2, 5, 0.0,0.0,0.0,0.0,0.0,0.0 
16, 69, 0.0,0.0,0.0,0.0,-42.0,0.0 
11, 39, 0.0,0.0,100.0,475.0,475.0,475.0 
21, 115, 0.0,0.0,0.0,0.0,0.0,0.0 
7, 17, 0.0,0.0,0.0,0.0,0.0,0.0 
26, 147, 0.0,0.0,100.0,1514.0,2928.0,3224.0 
25, 143, 0.0,0.0,-45.0,0.0,1250.0,2500.0 
10, 35, 0.0,0.0,0.0,0.0,0.0,0.0 
9, 34, 0.0,0.0,2791.0,5204.0,5195.0,5195.0 
29, 161, 0.0,0.0,0.0,0.0,0.0,0.0 
19, 102, 0.0,0.0,0.0,0.0,0.0,0.0 
17, 76, 0.0,0.0,4384.0,7888.0,4565.0,181.0 
8, 29, 0.0,0.0,0.0,-158.0,0.0,4408.0 
22, 117, 0.0,0.0,0.0,0.0,0.0,0.0 
6, 14, 0.0,0.0,0.0,0.0,0.0,0.0 
24, 139, 0.0,0.0,0.0,-163.0,0.0,4530.0 
4, 10, 0.0,0.0,0.0,0.0,0.0,0.0 
3, 8, 0.0,0.0,0.0,0.0,0.0,0.0 
28, 158, 0.0,0.0,0.0,0.0,0.0,0.0 
5, 12, 0.0,0.0,1475.0,2853.0,3363.0,3363.0 
20, 111, 0.0,0.0,0.0,0.0,0.0,0.0 
23, 137, 0.0,0.0,-31.0,0.0,876.0,1753.0 
13, 44, 0.0,0.0,0.0,0.0,0.0,0.0 
31, 181, 0.0,0.0,0.0,-0.0,0.0,0.0 
14, 46, 0.0,0.0,0.0,-3.0,0.0,47.0 
27, 148, 0.0,0.0,0.0,0.0,0.0,0.0 
15, 64, 0.0,0.0,-72.0,0.0,2012.0,1947.0 
12, 42, 0.0,0.0,0.0,-9.0,0.0,225.0 
30, 180, 0.0,0.0,-0.0,0.0,0.0,0.0 
