Load Index, Bus Index, 1.0, 2.0, 3.0, 4.0, 5.0
68, 109, 0.0,0.0,0.0,0.0,22.0 
2, 3, 0.0,0.0,0.0,0.0,0.0 
89, 149, 0.0,0.0,0.0,0.0,0.0 
11, 14, 0.0,0.0,0.0,0.0,0.0 
39, 61, 15.0,15.0,18.0,18.0,18.0 
46, 69, 0.0,0.0,0.0,0.0,0.0 
85, 143, 0.0,0.0,0.0,0.0,0.0 
25, 43, 0.0,126.0,126.0,126.0,441.0 
55, 81, 0.0,0.0,0.0,0.0,0.0 
42, 65, 0.0,118.0,118.0,118.0,118.0 
29, 47, 25.0,25.0,25.0,25.0,25.0 
58, 99, 20.0,20.0,20.0,20.0,20.0 
66, 107, 0.0,0.0,0.0,0.0,0.0 
59, 100, 0.0,0.0,0.0,0.0,0.0 
8, 10, 0.0,0.0,0.0,0.0,0.0 
74, 116, 0.0,0.0,0.0,0.0,25.0 
95, 156, 0.0,0.0,-8.0,-8.0,-8.0 
90, 150, 0.0,0.0,0.0,0.0,0.0 
20, 35, 0.0,0.0,0.0,0.0,0.0 
57, 84, 0.0,0.0,0.0,-414.0,-414.0 
78, 136, 0.0,0.0,18.0,18.0,18.0 
31, 50, 0.0,0.0,0.0,0.0,0.0 
14, 17, 0.0,0.0,0.0,0.0,0.0 
70, 111, 0.0,0.0,0.0,0.0,0.0 
52, 77, 0.0,0.0,97.0,500.0,500.0 
18, 33, 0.0,0.0,0.0,0.0,0.0 
33, 54, 0.0,0.0,0.0,0.0,0.0 
69, 110, 0.0,0.0,0.0,0.0,62.0 
96, 157, 0.0,0.0,38.0,38.0,38.0 
26, 44, 0.0,0.0,0.0,0.0,0.0 
35, 57, 0.0,0.0,0.0,0.0,25.0 
83, 141, 0.0,0.0,0.0,0.0,0.0 
65, 106, 0.0,0.0,0.0,0.0,0.0 
17, 30, 0.0,0.0,0.0,0.0,0.0 
64, 105, 0.0,0.0,0.0,0.0,0.0 
49, 74, 394.0,394.0,394.0,394.0,394.0 
44, 67, 160.0,160.0,160.0,160.0,160.0 
84, 142, 0.0,0.0,0.0,0.0,0.0 
37, 59, 1654.0,1654.0,1654.0,1654.0,1654.0 
4, 5, 0.0,0.0,0.0,0.0,0.0 
45, 68, 22.0,22.0,22.0,22.0,22.0 
13, 16, 0.0,0.0,0.0,0.0,0.0 
86, 144, 0.0,0.0,0.0,1189.0,1189.0 
67, 108, 0.0,0.0,0.0,33.0,33.0 
99, 160, 0.0,0.0,100.0,100.0,100.0 
93, 154, 0.0,0.0,0.0,0.0,0.0 
94, 155, 0.0,0.0,12.0,12.0,12.0 
1, 1, 0.0,0.0,0.0,0.0,0.0 
30, 49, 0.0,0.0,0.0,0.0,0.0 
54, 79, 0.0,0.0,0.0,0.0,0.0 
47, 70, 420.0,420.0,1681.0,1681.0,1681.0 
32, 53, 0.0,28.0,28.0,28.0,28.0 
50, 75, 0.0,0.0,0.0,0.0,1100.0 
77, 135, 0.0,0.0,0.0,0.0,0.0 
101, 163, 12.0,12.0,12.0,12.0,12.0 
80, 138, 0.0,0.0,0.0,0.0,0.0 
40, 62, 2.0,2.0,32.0,32.0,32.0 
82, 140, 0.0,0.0,0.0,0.0,0.0 
91, 151, 0.0,0.0,0.0,0.0,0.0 
43, 66, 0.0,0.0,0.0,0.0,31.0 
9, 11, 70.0,70.0,70.0,70.0,70.0 
75, 117, 0.0,0.0,0.0,0.0,0.0 
7, 9, 0.0,0.0,0.0,0.0,24.0 
34, 56, 0.0,0.0,24.0,24.0,24.0 
60, 101, 0.0,0.0,0.0,0.0,25.0 
104, 166, 0.0,79.0,79.0,79.0,79.0 
87, 147, 0.0,0.0,0.0,0.0,0.0 
103, 165, 0.0,0.0,0.0,0.0,0.0 
3, 4, 0.0,0.0,0.0,-6.0,-6.0 
61, 102, 0.0,0.0,0.0,0.0,0.0 
79, 137, 0.0,0.0,0.0,0.0,0.0 
